_id,route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,20-193,2024-JUN-FINAL-Weekday-01,4461667-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577963,200125
2,20-193,2024-JUN-FINAL-Weekday-01,4461668-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577934,200122
3,20-193,2024-JUN-FINAL-Weekday-01,4461669-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577993,200125
4,20-193,2024-JUN-FINAL-Weekday-01,4461670-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577929,200122
5,20-193,2024-JUN-FINAL-Weekday-01,4461671-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577934,200125
6,20-193,2024-JUN-FINAL-Weekday-01,4461672-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577963,200122
7,20-193,2024-JUN-FINAL-Weekday-01,4461673-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577929,200125
8,20-193,2024-JUN-FINAL-Weekday-01,4461674-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577963,200125
9,20-193,2024-JUN-FINAL-Weekday-01,4461675-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577993,200122
10,20-193,2024-JUN-FINAL-Weekday-01,4461676-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577993,200125
11,20-193,2024-JUN-FINAL-Weekday-01,4461677-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577963,200122
12,20-193,2024-JUN-FINAL-Weekday-01,4461678-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577963,200125
13,20-193,2024-JUN-FINAL-Weekday-01,4461679-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577934,200122
14,20-193,2024-JUN-FINAL-Weekday-01,4461680-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577934,200125
15,20-193,2024-JUN-FINAL-Weekday-01,4461681-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,578032,200122
16,20-193,2024-JUN-FINAL-Weekday-01,4461682-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,578032,200125
17,20-193,2024-JUN-FINAL-Weekday-01,4461683-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,577934,200122
18,20-193,2024-JUN-FINAL-Weekday-01,4461684-2024-JUN-FINAL-Weekday-01,20 HIGHLAND PARK/CARYTOWN/SS PLAZA,1,577934,200125
19,20-193,2024-JUN-FINAL-Weekday-01,4461685-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,578032,200122
20,20-193,2024-JUN-FINAL-Weekday-01,4461686-2024-JUN-FINAL-Weekday-01,20 CARYTOWN/BOULEVARD/HIGHLAND PARK,0,578038,200122
